date,kappa,theta,sigma_v,rho,v0,rmse
2025-03-19,1.5081356780720225,0.11716659641201216,0.6025062624260351,-0.88899411199081,0.04222449138859269,11.726275877571227
2025-03-20,1.3999776093728338,0.6619406360713366,1.3631710757217441,-0.5163974282637731,0.005,4.220209056170971
2025-03-21,1.4086238763684473,0.6612886156460834,1.3652749492681027,-0.5188752868202344,0.007497034071259577,5.490766594711137
2025-03-24,1.4305378466945524,0.6576604107720215,1.3752008173759236,-0.5303314571799583,0.015088802288967838,4.844758452836757
2025-03-25,0.9747199369736527,0.7990983125972174,1.250334444947664,-0.6772828932670825,0.014440325026297877,4.404359820306747
2025-03-26,1.0535645919852572,0.7346248521161955,1.2453504747365547,-0.6111839126231634,0.013004885959593558,2.7020497143558067
2025-03-27,1.0774294568108387,0.7318631296732766,1.2580120888620163,-0.6226270664149973,0.020204396248328104,2.9188211958413994
2025-03-28,1.122169885136947,0.7279963551762045,1.2803352354260786,-0.6430681611790492,0.028305908539664925,3.2792607056917857
2025-03-31,2.4640715227604497,0.6857907608209289,1.8402785750936472,-0.8426582750196892,0.05656125730889974,4.546369319901754
2025-04-01,0.5780459995862977,0.8,0.8542793216355501,-0.6115939788333712,0.07152501583733063,38.96172010993194
2025-04-02,2.392960005431735,0.7872435269602073,1.9430796507633081,-0.8223557157855301,0.04162627163058732,5.356468424405296
2025-04-07,2.2602343570750723,0.7544749580391323,1.849280511483501,-0.20077273266595413,0.12896378080781737,27.990837812281637
2025-04-08,2.9920550886950896,0.6712580329214081,2.0,-0.99,0.33297881705053467,7.145837287413465
2025-04-09,2.953826573022337,0.7021107563256063,2.0,-0.99,0.6012835535464504,27.029711707219224
2025-04-10,3.6338164101084724,0.56603818829701,2.0,-0.99,0.06162601982284286,25.021199776290608
2025-04-11,3.8590216034453624,0.5272325402804419,2.0,-0.99,0.2522446049211198,28.40833147920943
2025-04-14,3.8623022069418784,0.5474230329199643,2.0,-0.99,0.3803730386342408,23.277923411779838
2025-04-15,3.8748790462728073,0.6408298155441977,2.0,-0.99,0.1449455119960148,9.192889508128793
